USERID,Recency,Frequency,Monetary
1,1,113,155132
2,23,112,171249
3,5,86,117616
4,5,98,158630
5,21,102,128830
6,6,119,149826
7,8,109,149994
8,6,111,169806
9,6,105,127282
10,25,94,101865
11,6,116,149106
12,3,114,120432
13,0,104,152158
14,9,92,117153
15,2,112,133130
16,1,120,168151
17,2,102,109689
18,7,111,149851
19,2,96,137040
20,1,108,133266
21,17,104,130318
22,12,100,121241
23,0,109,113863
24,0,110,154785
25,12,98,124157
26,2,112,162845
27,12,90,117967
28,1,119,134851
29,2,104,126438
30,4,109,165743
31,3,106,133830
32,41,101,128302
33,4,93,107728
34,10,96,141570
35,21,95,117522
36,7,110,141890
37,15,114,142976
38,0,99,128314
39,2,86,111090
40,7,112,149865
41,15,98,111433
42,6,109,144400
43,31,119,162707
44,2,102,126103
45,21,102,144978
46,3,104,132633
47,8,122,154907
48,19,102,118233
49,19,111,147106
50,2,92,116075
51,5,86,123490
52,10,100,130720
53,11,107,119227
54,34,95,114154
55,1,127,157182
56,4,87,115420
57,19,91,111413
58,0,114,124497
59,1,104,134564
60,1,141,182015
61,8,103,143421
62,2,121,159965
63,16,91,116572
64,0,99,113579
65,18,111,121654
66,2,117,151362
67,16,101,123586
68,6,100,132104
69,23,98,97246
70,5,96,125031
71,13,92,118191
72,11,87,103567
73,3,85,111471
74,19,95,127702
75,9,86,88179
76,6,103,109882
77,0,118,133448
78,22,96,130103
79,6,113,187449
80,18,109,146473
81,11,119,149636
82,6,91,108765
83,10,97,160373
84,1,98,166881
85,3,114,139094
86,2,110,148495
87,0,130,151554
88,19,120,197045
89,0,103,124732
90,7,80,97778
91,16,115,149156
92,1,101,118774
93,5,105,158341
94,27,98,119724
95,26,102,135047
96,4,99,128630
97,15,108,156050
98,9,115,137888
99,1,86,101300
100,5,102,113324
101,0,98,134217
102,12,86,104943
103,8,98,130713
104,3,84,96795
105,0,92,107217
106,2,118,159185
107,19,104,125828
108,8,104,118588
109,7,99,117742
110,21,102,152867
111,6,103,137679
112,15,90,136249
113,1,109,128249
114,13,109,128366
115,2,101,139548
116,7,94,109920
117,13,113,149012
118,12,111,133477
119,2,115,124479
120,5,100,132129
121,1,76,93526
122,25,104,147916
123,26,88,110796
124,1,99,126610
125,16,97,114190
126,17,113,136658
127,8,110,142402
128,7,96,127187
129,37,104,127772
130,4,101,128100
131,7,109,147839
132,0,115,160714
133,3,103,128003
134,8,102,126689
135,0,82,112822
136,28,82,105316
137,2,118,162272
138,5,109,185478
139,11,91,108196
140,15,108,150422
141,1,108,125394
142,2,112,141643
143,7,118,134484
144,3,105,123682
145,7,110,132487
146,0,112,146532
147,0,110,212728
148,4,116,154059
149,0,91,128620
150,43,92,110217
151,4,108,152320
152,2,114,125438
153,22,104,129425
154,5,100,125891
155,0,112,140482
156,25,111,145737
157,3,104,130559
158,0,85,103078
159,23,97,145514
160,7,91,95415
161,2,81,91956
162,0,109,145390
163,0,92,97284
164,9,106,143574
165,4,89,142065
166,3,102,131501
167,9,110,148309
168,9,101,126044
169,0,106,128886
170,3,109,134191
171,2,111,132939
172,14,95,131953
173,5,83,96222
174,17,116,132740
175,3,106,127004
176,4,99,120026
177,19,99,125025
178,14,96,130888
179,0,113,131895
180,6,93,117654
181,0,107,133543
182,27,102,132297
183,29,97,103725
184,0,107,124042
185,7,92,117828
186,9,100,106624
187,39,83,123115
188,4,94,144794
189,6,108,145643
190,1,106,125392
191,3,114,153165
192,0,95,132927
193,7,110,142510
194,11,90,99835
195,2,99,97775
196,4,96,123505
197,9,96,116110
198,6,103,128536
199,1,107,120549
200,2,106,140809
201,57,95,171040
202,14,106,128754
203,33,100,138150
204,5,89,92323
205,4,91,162708
206,9,102,142885
207,4,109,134972
208,5,116,148813
209,10,116,163176
210,28,98,111909
211,10,106,139698
212,12,116,139714
213,6,101,117090
214,1,93,112577
215,3,93,92685
216,0,100,133682
217,7,116,155573
218,12,107,143386
219,3,111,149489
220,0,97,91601
221,3,102,132139
222,5,97,139891
223,5,90,144135
224,8,113,142935
225,6,110,164918
226,6,112,142763
227,0,112,144066
228,0,114,133792
229,11,105,120131
230,1,88,117258
231,0,90,105227
232,0,103,173011
233,8,104,144106
234,4,94,106959
235,7,72,86055
236,12,113,120139
237,15,110,138035
238,5,104,150580
239,16,102,133789
240,3,112,140387
241,2,121,144239
242,11,87,117559
243,0,113,152057
244,40,82,121784
245,4,99,115164
246,31,110,159590
247,1,102,112412
248,5,105,157249
249,13,87,98392
250,0,92,102807
251,11,105,144943
252,2,112,131238
253,1,120,129792
254,5,101,141560
255,3,89,90658
256,2,93,112388
257,7,108,145322
258,17,105,146667
259,12,90,109957
260,0,103,122589
261,8,111,135774
262,19,114,148413
263,2,112,135653
264,8,106,147433
265,14,92,114635
266,8,96,120878
267,1,105,116904
268,6,89,119329
269,21,103,115904
270,0,97,125397
271,0,96,111126
272,14,98,113483
273,11,105,138978
274,3,82,96784
275,25,95,123480
276,4,116,151605
277,16,94,114408
278,4,96,125643
279,0,103,142162
280,10,105,140906
281,2,93,122371
282,0,95,134117
283,3,106,134922
284,5,104,148379
285,0,116,131778
