USERID,Recency,Frequency,Monetary
1,5,86,4330
2,43,45,1954
3,8,47,2653
4,84,30,1200
5,8,40,779
6,4,250,5996
7,2,59,3400
8,5,113,5535
9,22,20,797
10,26,9,234
11,299,5,33
12,207,7,266
13,2,275,13191
14,7,140,2761
15,6,55,973
16,21,98,1512
17,22,124,5140
18,0,163,7119
19,0,421,11300
20,0,387,7486
21,29,27,870
22,0,136,6256
23,0,110,3159
24,2,74,1911
25,6,94,3150
26,6,113,1937
27,0,405,5736
28,9,125,2120
29,2,69,1343
30,0,28,623
31,1,69,4397
32,0,116,3382
33,0,52,1201
34,2,36,407
35,4,60,1120
36,3,221,4898
37,1,63,2977
38,160,27,706
39,26,64,5034
40,1,400,12908
41,4,73,3107
42,1,89,1986
43,1,106,885
44,83,32,878
45,124,57,807
46,0,137,8433
47,3,111,2329
48,2,50,1173
49,9,121,6445
50,36,15,351
51,1,83,3047
52,0,139,5487
53,5,56,1962
54,216,11,103
55,8,141,1073
56,2,201,6692
57,2,194,3106
58,0,268,10367
59,27,44,1688
60,14,8,401
61,16,11,184
62,42,33,359
63,1,33,590
64,0,264,3918
65,40,122,2042
66,26,29,396
67,2,227,9619
68,5,553,4961
69,0,183,5704
70,6,32,76
71,0,90,3376
72,17,107,6473
73,49,164,2864
74,55,131,2048
75,2,64,1167
76,0,16,316
77,1,87,6227
78,2,210,2505
79,3,154,3950
80,17,94,3002
81,5,152,5554
82,3,51,567
83,1,110,1184
84,15,52,1208
85,1,282,4696
86,38,46,4019
87,4,45,1202
88,3,229,11616
89,73,11,178
90,34,10,490
91,1,181,2900
92,6,57,1587
93,160,106,3347
94,13,36,443
95,2,308,6500
96,3,59,1182
97,5,180,5324
98,1,205,2547
99,2,255,6926
100,20,33,2295
101,3,242,6652
102,532,8,305
103,2,51,542
104,0,128,6547
105,1,169,4592
106,6,67,2015
107,29,41,1223
108,22,62,2671
109,3,104,3501
110,0,185,3461
111,24,51,1516
112,13,80,1343
113,2,223,15325
114,3,88,3316
115,3,201,13262
116,1,83,648
117,0,94,2568
118,4,90,4526
119,2,62,2593
120,58,19,242
121,42,112,2226
122,40,132,2354
123,20,174,3223
124,0,61,683
125,7,358,10602
126,12,31,853
127,0,191,4658
128,0,41,1381
129,21,40,476
130,373,20,512
131,2,354,6156
132,6,98,2875
133,5,75,3824
134,2,86,5535
135,0,74,718
136,17,77,2805
137,85,38,1062
138,3,68,3529
139,1,83,3073
140,19,140,1721
141,3,52,448
142,1,176,2324
143,1,408,6574
144,62,88,2126
145,7,59,1470
146,6,41,843
147,16,36,1487
148,12,55,1232
149,60,215,11921
150,103,6,230
151,5,49,1226
152,15,37,1454
153,9,92,1559
154,74,30,867
155,6,52,2101
156,1,587,5224
157,2,172,2749
158,7,180,1870
159,14,86,2144
